date,open,high,low,close,volume,dividends,stock splits
1993-05-20,26.56690405215359,26.640649795532227,26.511594744619615,26.640649795532227,98200,0.0,0
1993-05-21,26.659080505371094,26.695953369140625,26.38253402709961,26.400970458984375,221400,0.0,0
1993-05-24,26.456279754638672,26.603771209716797,26.456279754638672,26.51158905029297,30500,0.0,0
1993-05-25,26.622192351045417,26.622192351045417,26.566883087158203,26.566883087158203,191800,0.0,0
1993-05-26,26.64063840634697,26.917184825790017,26.622201978384098,26.89874839782715,102400,0.0,0
1993-05-27,26.935638482829727,26.935638482829727,26.769710525029957,26.806583404541016,53800,0.0,0
1993-05-28,26.788143189594344,26.788143189594344,26.548469506549107,26.67752456665039,79100,0.0,0
1993-06-01,26.76970099227874,27.027811056942586,26.73282812589819,26.93562889099121,28300,0.0,0
1993-06-02,26.86187554190141,26.990930537641496,26.75125697412419,26.89874839782715,20300,0.0,0
1993-06-03,26.843456284052078,26.843456284052078,26.751274085274428,26.806583404541016,21600,0.0,0
1993-06-04,26.732837684899877,26.732837684899877,26.60378260642105,26.714401245117188,32000,0.0,0
1993-06-07,26.769695260848366,26.769695260848366,26.622203826904297,26.622203826904297,121400,0.0,0
1993-06-08,26.54845231733982,26.54845231733982,26.382524490356445,26.382524490356445,104500,0.0,0
1993-06-09,26.474712371826172,26.585330947195917,26.43783951336959,26.474712371826172,43300,0.0,0
1993-06-10,26.45626832647463,26.511577598237295,26.400959054711965,26.493141174316406,17900,0.0,0
1993-06-11,26.585342401939386,26.64065171345521,26.49316021607968,26.603778839111328,647400,0.0,0
1993-06-14,26.640628772341152,26.65906519363689,26.566883087158203,26.566883087158203,64200,0.0,0
1993-06-15,26.603771209716797,26.622207641601562,26.51158905029297,26.51158905029297,142400,0.0,0
1993-06-16,26.51157382327099,26.566883087158203,26.437828138088037,26.566883087158203,330900,0.0,0
1993-06-17,26.622198118048917,26.65907096862793,26.566888842180393,26.65907096862793,37400,0.0,0
1993-06-18,26.643773123119654,26.643773123119654,26.43953514099121,26.43953514099121,58500,0.318,0
1993-06-21,26.51380444040813,26.51380444040813,26.45810317057534,26.495237350463867,29300,0.0,0
1993-06-22,26.532370571328812,26.532370571328812,26.476669303509368,26.513803482055664,137500,0.0,0
1993-06-23,26.513798722445753,26.513798722445753,26.27242660522461,26.27242660522461,227600,0.0,0
1993-06-24,26.346707204395756,26.625213623046875,26.346707204395756,26.625213623046875,243700,0.0,0
1993-06-25,26.60665512084961,26.680923523140883,26.58808802027679,26.60665512084961,44800,0.0,0
1993-06-28,26.73662647697496,26.903730392456055,26.699492273534716,26.903730392456055,439900,0.0,0
1993-06-29,26.866583863839033,26.866583863839033,26.736614211422395,26.77374839782715,207500,0.0,0
1993-06-30,26.8108825842319,26.866583863839033,26.736614211422395,26.77374839782715,437600,0.0,0
1993-07-01,26.81088261610941,26.81088261610941,26.662345870313793,26.699480056762695,605700,0.0,0
1993-07-02,26.606640831740584,26.62520792234194,26.458104106929753,26.550939559936523,285400,0.0,0
1993-07-06,26.513798722445753,26.588067066206108,26.235292433344434,26.27242660522461,246400,0.0,0
1993-07-07,26.25386521848177,26.383834848276237,26.25386521848177,26.34670066833496,343700,0.0,0
1993-07-08,26.365282783109553,26.699490593036295,26.32814858200658,26.643789291381836,248200,0.0,0
1993-07-09,26.64378352427002,26.71805191040039,26.588082234672243,26.71805191040039,378200,0.0,0
1993-07-12,26.680912963538244,26.71804714998715,26.643778777089338,26.699480056762695,373700,0.0,0
1993-07-13,26.71803665293864,26.79230499665772,26.532365793640942,26.6809024810791,389600,0.0,0
1993-07-14,26.699480025017643,26.848016770636654,26.680912931815264,26.77374839782715,617300,0.0,0
1993-07-15,26.75517943841833,26.75517943841833,26.606642703159935,26.662343978881836,443800,0.0,0
1993-07-16,26.68091683947174,26.699483935393435,26.550947168019896,26.58808135986328,216400,0.0,0
1993-07-19,26.588068964096486,26.588068964096486,26.495233527769333,26.569501876831055,188200,0.0,0
1993-07-20,26.55095378862441,26.643789291381836,26.420984084764008,26.643789291381836,68500,0.0,0
1993-07-21,26.606646528470133,26.625213623046875,26.53237815016317,26.625213623046875,142700,0.0,0
1993-07-22,26.588071855266442,26.625206033835248,26.43953514099121,26.43953514099121,632400,0.0,0
1993-07-23,26.495233527769333,26.569501876831055,26.476666440503905,26.569501876831055,286200,0.0,0
1993-07-26,26.64378352427002,26.77375319999817,26.64378352427002,26.71805191040039,121300,0.0,0
1993-07-27,26.7366142432116,26.755181336436053,26.606644590640435,26.699480056762695,92800,0.0,0
1993-07-28,26.643789291381836,26.699490593036295,26.606655090278867,26.643789291381836,30800,0.0,0
1993-07-29,26.699490471177025,26.866594375377716,26.662356270243535,26.792325973510742,331000,0.0,0
1993-07-30,26.792326095793722,26.792326095793722,26.606655090278867,26.643789291381836,75300,0.0,0
1993-08-02,26.680917717335205,26.81088739306335,26.680917717335205,26.71805191040039,41300,0.0,0
1993-08-03,26.773742683728535,26.84801104068756,26.64377305905024,26.736608505249023,81600,0.0,0
1993-08-04,26.736608505249023,26.79230977296829,26.662340148289996,26.736608505249023,434000,0.0,0
1993-08-05,26.73660373886841,26.73660373886841,26.64376830921956,26.6809024810791,36800,0.0,0
1993-08-06,26.755186103465576,26.77375319999817,26.680917717335205,26.71805191040039,402300,0.0,0
1993-08-09,26.792322108724154,26.940858891031706,26.736620815358823,26.86659049987793,828200,0.0,0
1993-08-10,26.84801483154297,26.86658192340434,26.810880647820223,26.84801483154297,604900,0.0,0
1993-08-11,26.829447739681598,26.922283198988453,26.829447739681598,26.84801483154297,542200,0.0,0
1993-08-12,26.92228514344616,26.92228514344616,26.680912931815264,26.77374839782715,303700,0.0,0
1993-08-13,26.792311663112482,26.829445844211737,26.792311663112482,26.81087875366211,103500,0.0,0
1993-08-16,26.829459089221377,27.033697186094344,26.829459089221377,26.959428787231445,241800,0.0,0
1993-08-17,26.940862565312223,27.052265167236328,26.940862565312223,27.052265167236328,369300,0.0,0
1993-08-18,27.145089127993014,27.25649168255386,27.126522035566207,27.200790405273438,414300,0.0,0
1993-08-19,27.219357497700248,27.219357497700248,27.163656220419824,27.200790405273438,28500,0.0,0
1993-08-20,27.145086267635246,27.2193546295166,27.12651917716491,27.2193546295166,80700,0.0,0
1993-08-23,27.1079606677438,27.18222905313488,27.1079606677438,27.16366195678711,15600,0.0,0
1993-08-24,27.16366178139873,27.460735321044922,27.16366178139873,27.460735321044922,273400,0.0,0
1993-08-25,27.46072292070131,27.590692535606593,27.42358874501409,27.479290008544922,242300,0.0,0
1993-08-26,27.49786376953125,27.646400508326828,27.386461215434565,27.49786376953125,120000,0.0,0
1993-08-27,27.42358874501409,27.479290008544922,27.42358874501409,27.479290008544922,25700,0.0,0
1993-08-30,27.497855180044677,27.627824785892287,27.497855180044677,27.59069061279297,183500,0.0,0
1993-08-31,27.572142530607696,27.66497802734375,27.535008331913275,27.66497802734375,66500,0.0,0
1993-09-01,27.572146365719455,27.68354897729812,27.572146365719455,27.62784767150879,136500,0.0,0
1993-09-02,27.646396663971874,27.683530843507096,27.5164270355986,27.53499412536621,472400,0.0,0
1993-09-03,27.516429888270295,27.590698255040255,27.479295704885313,27.553564071655273,630500,0.0,0
1993-09-07,27.553571817509354,27.59070601133349,27.330766654564535,27.367900848388672,196400,0.0,0
1993-09-08,27.367907605258846,27.367907605258846,27.08940108281727,27.27507209777832,269900,0.0,0
1993-09-09,27.16365901413171,27.349329957495563,27.16365901413171,27.33076286315918,239200,0.0,0
1993-09-10,27.405028279622396,27.59069920292607,27.36789409496166,27.572132110595703,106500,0.0,0
1993-09-13,27.664958958991605,27.664958958991605,27.59069061279297,27.59069061279297,66900,0.0,0
1993-09-14,27.516424184232147,27.516424184232147,27.386454569326865,27.479290008544922,184500,0.0,0
1993-09-15,27.367893154730375,27.572131163347766,27.275057696267925,27.553564071655273,101000,0.0,0
1993-09-16,27.516433751954118,27.53500084625368,27.423598280456297,27.44216537475586,54300,0.0,0
1993-09-17,27.42632927055411,27.445012056160753,27.35159812812753,27.38896369934082,200900,0.286,0
1993-09-20,27.42632334629148,27.48237169100461,27.164764404296875,27.164764404296875,57800,0.0,0
1993-09-21,27.202129566727052,27.239495129318712,26.791108378218816,27.07135009765625,318200,0.0,0
1993-09-22,27.164752811377053,27.33289777375834,27.127387264181213,27.2955322265625,439700,0.0,0
1993-09-23,27.3702723903669,27.463686289310132,27.332906830789607,27.445003509521484,88500,0.0,0
1993-09-24,27.407644881160593,27.426327665673995,27.332913743106985,27.37027931213379,53500,0.0,0
1993-09-27,27.57578888557635,27.66920280456543,27.57578888557635,27.66920280456543,274600,0.0,0
1993-09-28,27.68789606520223,27.68789606520223,27.594482110866192,27.6131649017334,158300,0.0,0
1993-09-29,27.613141582356935,27.687872682715142,27.482362156730076,27.51972770690918,221000,0.0,0
1993-09-30,27.51973432813372,27.575782666887555,27.407637650626047,27.463685989379883,99300,0.0,0
1993-10-01,27.42633161499602,27.631842274236455,27.38896604058867,27.5944766998291,22700,0.0,0
1993-10-04,27.6318359375,27.6318359375,27.55710480582319,27.6318359375,1038500,0.0,0
1993-10-05,27.68789063584748,27.68789063584748,27.501062763810722,27.5944766998291,436500,0.0,0
1993-10-06,27.613142605396465,27.725239260086845,27.575777053833004,27.575777053833008,209200,0.0,0
1993-10-07,27.61314379391463,27.61314379391463,27.482364357813548,27.501047134399414,59400,0.0,0
1993-10-08,27.575791016039076,27.594473801280294,27.332914807903233,27.53842544555664,54400,0.0,0
1993-10-11,27.5944766998291,27.65052506144013,27.5944766998291,27.5944766998291,467100,0.0,0
1993-10-12,27.6318359375,27.6505187204192,27.613153154580797,27.6318359375,26200,0.0,0
1993-10-13,27.6505187204192,27.6505187204192,27.594470371661593,27.6318359375,139100,0.0,0
1993-10-14,27.743921254441958,27.986797332763672,27.669190153419894,27.986797332763672,108100,0.0,0
1993-10-15,28.11759917701225,28.1923303376156,28.042868016408892,28.136281967163086,1502500,0.0,0
1993-10-18,28.11758130907854,28.11758130907854,28.02416741768625,28.061532974243164,722400,0.0,0
1993-10-19,28.024184152154135,28.080232520458445,27.85603904724121,27.85603904724121,880100,0.0,0
1993-10-20,27.949427528662405,27.949427528662405,27.837330894189158,27.89337921142578,230400,0.0,0
1993-10-21,27.912087415545518,27.912087415545518,27.81867346837167,27.85603904724121,56200,0.0,0
1993-10-22,27.89338953604274,28.005486212008083,27.725244522094727,27.725244522094727,390700,0.0,0
1993-10-25,27.743929912967065,27.837343818397933,27.669198788622374,27.799978256225586,114500,0.0,0
1993-10-26,27.781286239624023,27.79996901449936,27.687872365247344,27.781286239624023,186200,0.0,0
1993-10-27,27.743929912967065,27.81866103731176,27.743929912967065,27.799978256225586,118400,0.0,0
1993-10-28,27.837346212477428,28.08022238748562,27.837346212477428,28.005491256713867,129600,0.0,0
1993-10-29,27.98680847402093,28.024174039406805,27.96812569132799,28.005491256713867,80700,0.0,0
1993-11-01,27.968114986153182,28.09889441494615,27.968114986153182,28.080211639404297,36400,0.0,0
1993-11-02,28.042850195964707,28.09889853080008,27.89338796973705,28.061532974243164,262100,0.0,0
1993-11-03,28.04285593476556,28.04285593476556,27.575786382221164,27.706565856933594,479100,0.0,0
1993-11-04,27.706559176662786,27.706559176662786,27.388951957510212,27.407634735107422,130400,0.0,0
1993-11-05,27.332914807903233,27.53842544555664,27.22081809645592,27.53842544555664,363200,0.0,0
1993-11-08,27.557094278051277,27.650508156959926,27.48236317492436,27.575777053833008,367600,0.0,0
1993-11-09,27.762621784662183,27.78130457186586,27.575793912625425,27.5944766998291,246900,0.0,0
1993-11-10,27.59446766427768,27.799978256225586,27.51973653993299,27.799978256225586,46500,0.0,0
1993-11-11,27.799975639404956,27.874706756715184,27.706561742767168,27.725244522094727,88900,0.0,0
1993-11-12,27.781307889502134,27.949452994415058,27.762625100067364,27.85603904724121,108200,0.0,0
1993-11-15,27.912078163607806,27.912078163607806,27.762615897671488,27.83734703063965,243300,0.0,0
1993-11-16,27.89340467586785,27.986818623208332,27.78130793905927,27.968135833740234,492600,0.0,0
